"task_id","created_date","status_changed_date","target_date","days_remaining_at_change"
"T132607.72","2020-08-27","2020-08-27","2020-09-02",6
"T141007.20","2020-08-21","2020-08-21","2020-08-27",6
"T141007.23","2020-08-21","2020-08-21","2020-08-27",6
"T141007.22","2020-08-21","2020-08-21","2020-08-27",6
"T141007.21","2020-08-21","2020-09-10","2020-08-27",-14
"T141007.18","2020-08-21","2020-08-21","2020-08-27",6
"T132607.14","2020-07-03","2020-07-17","2020-07-09",-8
"T132578.16","2020-06-17","2020-07-17","2020-06-23",-24
"T1.21324984","2020-03-10","2020-09-10","2020-03-17",-177
"T116412.182","2020-09-08","2020-09-10","2020-09-14",4
"T116412.181","2020-09-07","2020-09-07","2020-09-13",6
"T84104.964","2020-09-07","2020-09-10","2020-09-13",3
"T116412.179","2020-09-03","2020-09-03","2020-09-09",6
"T116412.178","2020-09-03","2020-09-03","2020-09-09",6
"T116412.177","2020-09-03","2020-09-09","2020-09-09",0
"T113721.78","2020-09-03","2020-09-03","2020-09-09",6
"T116412.176","2020-09-03","2020-09-10","2020-09-09",-1
"T113721.77","2020-09-03","2020-09-03","2020-09-09",6
"T116412.175","2020-09-03","2020-09-10","2020-09-09",-1
"T116412.174","2020-09-03","2020-09-03","2020-09-09",6
"T113721.76","2020-09-03","2020-09-03","2020-09-09",6
"T113721.75","2020-09-03","2020-09-03","2020-09-09",6
"T116412.173","2020-09-03","2020-09-10","2020-09-09",-1
"T113721.74","2020-09-03","2020-09-03","2020-09-09",6
"T116412.172","2020-09-03","2020-09-10","2020-09-09",-1
"T116412.171","2020-09-03","2020-09-10","2020-09-09",-1
"T113721.73","2020-09-03","2020-09-03","2020-09-09",6
"T116412.170","2020-09-03","2020-09-10","2020-09-09",-1
"T113721.72","2020-09-03","2020-09-03","2020-09-09",6
"T116412.169","2020-09-03","2020-09-10","2020-09-09",-1
"T116412.168","2020-09-03","2020-09-10","2020-09-09",-1
"T124296.79","2020-09-02","2020-09-02","2020-09-08",6
"T1.23723958","2020-09-01","2020-09-01","2020-09-10",9
"T116412.153","2020-09-01","2020-09-01","2020-09-07",6
"T113721.71","2020-09-01","2020-09-01","2020-09-07",6
"T116412.152","2020-09-01","2020-09-01","2020-09-07",6
"T116412.151","2020-09-01","2020-09-10","2020-09-07",-3
"T116412.150","2020-09-01","2020-09-10","2020-09-07",-3
"T113721.70","2020-09-01","2020-09-01","2020-09-07",6
"T113721.69","2020-09-01","2020-09-01","2020-09-07",6
"T116412.149","2020-09-01","2020-09-10","2020-09-07",-3
"T113721.68","2020-09-01","2020-09-01","2020-09-07",6
"T116412.148","2020-09-01","2020-09-10","2020-09-07",-3
"T113721.67","2020-09-01","2020-09-01","2020-09-07",6
"T113721.66","2020-09-01","2020-09-01","2020-09-07",6
"T116412.146","2020-09-01","2020-09-10","2020-09-07",-3
"T116412.145","2020-09-01","2020-09-10","2020-09-07",-3
"T116412.144","2020-09-01","2020-09-10","2020-09-07",-3
"T116412.143","2020-09-01","2020-09-10","2020-09-07",-3
"T113721.65","2020-09-01","2020-09-01","2020-09-07",6
"T142843.1","2020-09-01","2020-09-01","2020-09-07",6
"T119055.92","2020-08-27","2020-08-27","2020-09-02",6
"T116412.142","2020-08-27","2020-08-27","2020-09-02",6
"T116412.141","2020-08-27","2020-08-27","2020-09-02",6
"T1.23668625","2020-08-26","2020-08-26","2020-09-01",6
"T1.23668510","2020-08-26","2020-08-26","2020-09-01",6
"T1.23668257","2020-08-26","2020-09-03","2020-09-01",-2
"T1.23668250","2020-08-26","2020-09-10","2020-09-01",-9
"T1.23668243","2020-08-26","2020-09-10","2020-09-01",-9
"T116412.140","2020-08-25","2020-09-10","2020-08-31",-10
"T116412.139","2020-08-25","2020-09-10","2020-08-31",-10
"T118994.32","2020-08-25","2020-08-25","2020-08-31",6
"T118994.31","2020-08-25","2020-08-25","2020-08-31",6
"T141007.27","2020-08-21","2020-08-21","2020-08-27",6
"T141007.26","2020-08-21","2020-09-10","2020-08-27",-14
"T141007.25","2020-08-21","2020-09-10","2020-08-27",-14
"T141007.24","2020-08-21","2020-08-21","2020-08-27",6
"T116412.134","2020-08-20","2020-08-20","2020-08-26",6
"T116412.133","2020-08-19","2020-08-19","2020-08-25",6
"T116412.132","2020-08-12","2020-08-12","2020-08-18",6
"T116412.124","2020-07-09","2020-07-09","2020-07-15",6
"T122196.120","2020-07-02","2020-07-03","2020-07-08",5
"T1.22631624","2020-07-02","2020-07-02","2020-07-01",-1
"T131475.63","2020-07-02","2020-07-02","2020-07-08",6
"T131475.62","2020-07-02","2020-07-02","2020-07-08",6
"T131475.61","2020-07-02","2020-07-02","2020-07-08",6
"T131475.60","2020-07-02","2020-07-02","2020-07-08",6
"T131475.59","2020-07-02","2020-07-02","2020-07-08",6
"T131475.58","2020-07-02","2020-07-02","2020-07-08",6
"T131475.57","2020-07-02","2020-07-02","2020-07-08",6
"T131475.56","2020-07-02","2020-07-02","2020-07-08",6
"T131475.55","2020-07-02","2020-07-02","2020-07-08",6
"T131475.54","2020-07-02","2020-07-02","2020-07-08",6
"T131475.53","2020-07-02","2020-07-02","2020-07-08",6
"T131475.52","2020-07-02","2020-07-02","2020-07-08",6
"T131475.51","2020-07-02","2020-07-02","2020-07-08",6
"T131475.50","2020-07-02","2020-07-02","2020-07-08",6
"T131475.49","2020-07-02","2020-07-02","2020-07-08",6
"T131475.48","2020-07-02","2020-07-02","2020-07-08",6
"T131475.47","2020-07-02","2020-07-02","2020-07-08",6
"T131475.46","2020-07-02","2020-07-02","2020-07-08",6
"T131475.45","2020-07-02","2020-07-02","2020-07-08",6
"T131475.44","2020-07-02","2020-07-02","2020-07-08",6
"T131475.43","2020-07-02","2020-07-02","2020-07-08",6
"T131475.42","2020-07-02","2020-07-02","2020-07-08",6
"T131475.41","2020-07-02","2020-07-02","2020-07-08",6
"T131475.40","2020-07-02","2020-07-02","2020-07-08",6
"T131475.39","2020-07-02","2020-07-02","2020-07-08",6
"T124296.58","2020-06-26","2020-09-10","2020-07-02",-70
"T124296.51","2020-06-26","2020-09-10","2020-07-02",-70
"T124296.49","2020-06-26","2020-06-26","2020-07-02",6
"T118318.149","2020-06-24","2020-09-09","2020-06-30",-71
"T119055.70","2020-06-23","2020-09-09","2020-06-29",-72
"T118982.13","2020-06-23","2020-06-23","2020-06-29",6
"T129620.32","2020-06-22","2020-06-22","2020-06-28",6
"T129620.31","2020-06-22","2020-06-22","2020-06-28",6
"T129620.30","2020-06-22","2020-06-22","2020-06-28",6
"T116412.101","2020-06-18","2020-06-18","2020-06-24",6
"T116412.100","2020-06-18","2020-06-18","2020-06-24",6
"T118318.131","2020-06-17","2020-06-17","2020-06-23",6
"T119055.22","2020-06-16","2020-09-09","2020-06-22",-79
"T116412.98","2020-06-15","2020-06-15","2020-06-21",6
"T118318.108","2020-06-11","2020-06-11","2020-06-17",6
"T74906.107","2020-06-10","2020-06-10","2020-06-11",1
"T74906.106","2020-06-10","2020-06-10","2020-06-11",1
"T74906.105","2020-06-10","2020-06-10","2020-06-11",1
"T74906.104","2020-06-10","2020-06-10","2020-06-11",1
"T118318.104","2020-06-10","2020-06-10","2020-06-16",6
"T118318.100","2020-06-10","2020-06-10","2020-06-16",6
"T116412.91","2020-06-05","2020-06-05","2020-06-11",6
"T116412.90","2020-06-05","2020-06-12","2020-06-11",-1
"T116412.89","2020-06-05","2020-06-12","2020-06-11",-1
"T1.22129689","2020-06-04","2020-09-10","2020-06-10",-92
"T1.22129670","2020-06-04","2020-06-04","2020-06-10",6
"T116412.87","2020-06-03","2020-06-04","2020-06-09",5
"T122196.77","2020-06-03","2020-09-10","2020-06-09",-93
"T122196.76","2020-06-03","2020-06-13","2020-06-09",-4
"T122196.75","2020-06-03","2020-06-13","2020-06-09",-4
"T122196.74","2020-06-03","2020-09-10","2020-06-09",-93
"T122196.73","2020-06-03","2020-09-10","2020-06-09",-93
"T130919.14","2020-06-03","2020-06-03","2020-06-09",6
"T130919.13","2020-06-03","2020-06-03","2020-06-09",6
"T130919.11","2020-06-03","2020-06-03","2020-06-09",6
"T130919.10","2020-06-03","2020-06-03","2020-06-09",6
"T130919.9","2020-06-03","2020-06-03","2020-06-09",6
"T130919.8","2020-06-03","2020-06-03","2020-06-09",6
"T130919.7","2020-06-03","2020-09-01","2020-06-09",-84
"T130919.6","2020-06-03","2020-09-01","2020-06-09",-84
"T130919.5","2020-06-03","2020-06-03","2020-06-09",6
"T130919.4","2020-06-03","2020-06-03","2020-06-09",6
"T130919.3","2020-06-03","2020-06-03","2020-06-09",6
"T130919.1","2020-06-03","2020-06-03","2020-06-09",6
"T124296.24","2020-05-28","2020-05-28","2020-06-03",6
"T124296.23","2020-05-28","2020-05-28","2020-06-03",6
"T124296.19","2020-05-28","2020-05-28","2020-06-03",6
"T124296.18","2020-05-28","2020-05-28","2020-06-03",6
"T124296.7","2020-05-28","2020-05-28","2020-06-03",6
"T124296.6","2020-05-28","2020-05-28","2020-06-03",6
"T126688.7","2020-04-01","2020-04-01","2020-04-07",6
"T126688.3","2020-04-01","2020-09-09","2020-04-07",-155
"T126688.1","2020-04-01","2020-04-01","2020-04-07",6
"T118994.22","2020-03-26","2020-03-26","2020-04-01",6
"T118994.19","2020-03-26","2020-06-10","2020-04-01",-70
"T118994.16","2020-03-26","2020-03-26","2020-04-01",6
"T118994.13","2020-03-26","2020-03-26","2020-04-01",6
"T118994.11","2020-03-26","2020-03-26","2020-04-01",6
"T118994.7","2020-03-26","2020-03-26","2020-04-01",6
"T118994.6","2020-03-26","2020-03-26","2020-04-01",6
"T118994.5","2020-03-26","2020-03-26","2020-04-01",6
"T118994.4","2020-03-26","2020-03-26","2020-04-01",6
"T118994.3","2020-03-26","2020-03-26","2020-04-01",6
"T118994.2","2020-03-26","2020-03-26","2020-04-01",6
"T119055.5","2020-03-25","2020-03-25","2020-03-31",6
"T122196.22","2020-03-18","2020-04-29","2020-03-25",-35
"T116412.49","2020-03-04","2020-03-04","2020-03-11",7
"T116412.47","2020-03-02","2020-03-02","2020-03-09",7
"T1.21112005","2020-03-02","2020-03-02","2020-03-11",9
"T118318.38","2020-02-26","2020-03-31","2020-03-04",-27
"T90895.145","2020-02-25","2020-09-10","2020-03-03",-191
"T90895.135","2020-02-25","2020-09-10","2020-03-03",-191
"T90895.133","2020-02-25","2020-09-10","2020-03-03",-191
"T90895.132","2020-02-25","2020-09-10","2020-03-03",-191
"T90895.123","2020-02-25","2020-06-08","2020-03-03",-97
"T116412.46","2020-02-25","2020-02-25","2020-03-03",7
"T116412.43","2020-02-24","2020-02-28","2020-03-02",3
"T90060.64","2020-02-11","2020-02-11","2020-02-18",7
"T117841.4","2020-01-31","2020-06-16","2020-02-07",-130
"T117841.3","2020-01-31","2020-01-31","2020-02-07",7
"T117841.2","2020-01-31","2020-01-31","2020-02-07",7
"T82131.5","2020-01-31","2020-01-31","2020-02-07",7
"T1.20544659","2020-01-31","2020-01-31","2020-02-07",7
"T117841.1","2020-01-31","2020-03-09","2020-02-07",-31
"T82131.4","2020-01-31","2020-01-31","2020-02-07",7
"T76201.574","2020-01-30","2020-06-08","2020-02-13",-116
"T76201.571","2020-01-30","2020-09-10","2020-02-06",-217
"T90060.58","2020-01-28","2020-08-21","2020-02-04",-199
"T1.20116694","2020-01-03","2020-01-03","2020-01-10",7
"T90060.27","2019-12-17","2020-04-24","2019-12-24",-122
"T76201.462","2019-12-05","2019-12-05","2019-12-12",7
"T92999.39","2019-11-19","2020-09-03","2019-11-26",-282
"T1.19169443","2019-11-18","2019-11-18","2019-11-25",7
"T84104.527","2019-11-12","2019-11-12","2019-11-12",0
"T84104.524","2019-11-12","2019-11-12","2019-11-13",1
"T84104.523","2019-11-12","2019-11-12","2019-11-13",1
"T90896.49","2019-10-25","2020-05-01","2019-11-01",-182
"T1.16995753","2019-09-29","2020-01-28","2019-10-05",-115
"T1.16960222","2019-09-24","2020-01-28","2019-09-30",-120
"T1.16886388","2019-09-17","2020-01-28","2019-09-23",-127
"T1.16812791","2019-09-12","2020-01-28","2019-09-18",-132
"T1.16767632","2019-09-10","2019-10-21","2019-09-16",-35
"T1.16644127","2019-09-05","2020-04-27","2019-09-11",-229
"T1.16644126","2019-09-05","2020-01-28","2019-09-11",-139
"T1.16644125","2019-09-05","2020-04-27","2019-09-11",-229
"T1.16643799","2019-09-05","2020-01-28","2019-09-11",-139
"T76201.235","2019-08-28","2019-08-28","2019-09-03",6
"T76201.234","2019-08-28","2019-08-28","2019-09-03",6
"T1.16360340","2019-08-12","2019-08-27","2019-08-25",-2
"T84104.68","2019-07-23","2019-07-23","2019-07-29",6
"T92677.112","2020-09-02","2020-09-02","2020-09-08",6
"T92677.111","2020-09-02","2020-09-02","2020-09-08",6
"T92677.110","2020-09-02","2020-09-02","2020-09-08",6
"T92677.109","2020-09-02","2020-09-02","2020-09-08",6
"T92677.108","2020-09-02","2020-09-02","2020-09-08",6
"T92677.102","2020-08-26","2020-08-26","2020-09-01",6
"T92677.97","2020-08-12","2020-08-12","2020-08-18",6
"T92677.96","2020-08-11","2020-08-11","2020-08-17",6
"T92677.95","2020-08-11","2020-08-11","2020-08-17",6
"T92677.94","2020-08-11","2020-08-11","2020-08-17",6
"T92677.90","2020-08-07","2020-08-07","2020-08-13",6
"T92677.86","2020-07-23","2020-07-23","2020-07-29",6
"T92677.85","2020-07-23","2020-07-23","2020-07-29",6
"T92677.83","2020-07-20","2020-07-20","2020-07-26",6
"T92677.78","2020-07-13","2020-07-13","2020-07-19",6
"T92677.77","2020-07-07","2020-07-07","2020-07-13",6
"T92677.73","2020-06-17","2020-06-17","2020-06-23",6
"T92677.72","2020-06-15","2020-06-15","2020-06-21",6
"T92677.71","2020-06-09","2020-06-09","2020-06-25",16
"T92677.69","2020-06-04","2020-06-04","2020-06-10",6
"T92677.68","2020-06-04","2020-06-04","2020-06-10",6
"T92677.67","2020-05-26","2020-05-26","2020-07-11",46
"T92677.66","2020-05-22","2020-05-22","2020-07-23",62
"T92677.64","2020-05-22","2020-05-22","2020-05-28",6
"T92677.63","2020-05-22","2020-05-22","2020-06-11",20
"T92677.62","2020-05-22","2020-05-22","2020-07-02",41
"T92677.112","2020-09-02","2020-09-02","2020-09-08",6
"T92677.111","2020-09-02","2020-09-02","2020-09-08",6
"T92677.110","2020-09-02","2020-09-02","2020-09-08",6
"T92677.109","2020-09-02","2020-09-02","2020-09-08",6
"T92677.108","2020-09-02","2020-09-02","2020-09-08",6
"T92677.102","2020-08-26","2020-08-26","2020-09-01",6
"T92677.97","2020-08-12","2020-08-12","2020-08-18",6
"T92677.96","2020-08-11","2020-08-11","2020-08-17",6
"T92677.95","2020-08-11","2020-08-11","2020-08-17",6
"T92677.94","2020-08-11","2020-08-11","2020-08-17",6
"T92677.90","2020-08-07","2020-08-07","2020-08-13",6
"T92677.86","2020-07-23","2020-07-23","2020-07-29",6
"T92677.85","2020-07-23","2020-07-23","2020-07-29",6
"T92677.83","2020-07-20","2020-07-20","2020-07-26",6
"T92677.78","2020-07-13","2020-07-13","2020-07-19",6
"T92677.77","2020-07-07","2020-07-07","2020-07-13",6
"T92677.73","2020-06-17","2020-06-17","2020-06-23",6
"T92677.72","2020-06-15","2020-06-15","2020-06-21",6
"T92677.71","2020-06-09","2020-06-09","2020-06-25",16
